# S070, the smear: every cheap fix tried, with numbers

## per-axis density and axis top (12 points baseline)
S070 just-retired/pension-heavy/wealthy/m  pts       12  table@0 88.5  sim solver 67.3  bias +21.1  | best [18] sv 87.89 score 1.2657 | fixed [12] sv 87.28 score 1.2549 sim 70.3  | 29s
S070 just-retired/pension-heavy/wealthy/m  pts       12 hr 2  table@0 87.9  sim solver 67.2  bias +20.7  | best [18] sv 87.48 score 1.2471 | fixed [12] sv 86.82 score 1.2348 sim 70.3  | 27s
S070 just-retired/pension-heavy/wealthy/m  pts 12/28/12  table@0 86.2  sim solver 67.3  bias +18.9  | best [18] sv 85.73 score 1.2228 | fixed [12] sv 85.05 score 1.2115 sim 70.3  | 62s
S070 just-retired/pension-heavy/wealthy/m  pts 12/12/28  table@0 85.2  sim solver 67.7  bias +17.6  | best [18] sv 84.66 score 1.2112 | fixed [12] sv 84.35 score 1.2057 sim 70.3  | 62s
S070 just-retired/pension-heavy/wealthy/m  pts 28/12/12  table@0 86.0  sim solver 67.4  bias +18.6  | best [18] sv 85.65 score 1.2313 | fixed [12] sv 85.06 score 1.2224 sim 70.3  | 62s
S070 just-retired/pension-heavy/wealthy/m  pts 20/12/12 hr 2  table@0 86.4  sim solver 67.4  bias +19.0  | best [18] sv 86.03 score 1.2337 | fixed [12] sv 85.43 score 1.2239 sim 70.3  | 44s
S070 just-retired/pension-heavy/wealthy/m  pts 12/12/40  table@0 84.8  sim solver 67.7  bias +17.1  | best [18] sv 84.25 score 1.2054 | fixed [12] sv 83.97 score 1.2001 sim 70.3  | 85s

## interpolation scheme and clamp (12 points)
SOLVER_INTERP=linear  S070 just-retired/pension-heavy/wealthy/m  pts       12  table@0 76.6  sim solver 67.4  bias +9.2  | best [18] sv 77.35 score 1.1294 | fixed [12] sv 76.74 score 1.1202 sim 70.3  | 26s
SOLVER_CLAMP=1e-3  S070 just-retired/pension-heavy/wealthy/m  pts       12  table@0 87.4  sim solver 67.3  bias +20.0  | best [18] sv 86.94 score 1.2531 | fixed [12] sv 86.36 score 1.2428 sim 70.3  | 28s
SOLVER_CLAMP=0.05  S070 just-retired/pension-heavy/wealthy/m  pts       12  table@0 78.6  sim solver 67.3  bias +11.2  | best [18] sv 78.81 score 1.1503 | fixed [12] sv 78.29 score 1.1416 sim 70.3  | 29s
SOLVER_CLAMP=1e-2  S070 just-retired/pension-heavy/wealthy/m  pts       12  table@0 84.3  sim solver 67.3  bias +17.0  | best [18] sv 84.22 score 1.2190 | fixed [12] sv 83.66 score 1.2093 sim 70.3  | 29s

## linear at 20 and 28
linear  S070 just-retired/pension-heavy/wealthy/m  pts       20  table@0 75.3  sim solver 68.2  bias +7.1  | best [18] sv 75.84 score 1.0900 | fixed [12] sv 75.55 score 1.0864 sim 70.3  | 108s
linear  S070 just-retired/pension-heavy/wealthy/m  pts       28  table@0 75.6  sim solver 68.5  bias +7.0  | best [18] sv 75.80 score 1.0862 | fixed [12] sv 75.61 score 1.0844 sim 70.3  | 294s

## tax-averse tie-break at 20 points, S070 and two wins
S070 just-retired/pension-heavy/wealthy/m  pts       20 tie 0.003  table@0 80.8  sim solver 68.7  bias +12.0  | best [2] sv 80.22 score 1.1401 | fixed [12] sv 80.21 score 1.1395 sim 70.3  | 136s
S082 just-retired/isa-heavy/wealthy/moder  pts       20 tie 0.01  table@0 87.9  sim solver 83.1  bias +4.7  | best [4] sv 87.56 score 1.2756 | fixed [0] sv 87.27 score 1.2710 sim 81.7  | 139s
S070 just-retired/pension-heavy/wealthy/m  pts       20 tie 0.01  table@0 80.8  sim solver 68.9  bias +11.9  | best [2] sv 80.22 score 1.1401 | fixed [12] sv 80.21 score 1.1395 sim 70.3  | 139s
S354 far/cash-heavy/comfortable/light      pts       20 tie 0.01  table@0 90.9  sim solver 81.9  bias +9.1  | best [0] sv 90.76 score 1.4149 | fixed [10] sv 90.76 score 1.4149 sim 80.3  | 206s

## the contested moves as fixed policies on S070's held-out paths
move 12 basic-band 69.3; move 18 whole-from-pension 63.1; move 0 taxable-first 64.8; move 6 PA-first 65.7; move 15 basic ISA-first 69.0; move 21 any ISA-first 61.2

## batch 2: shortfall risk term (wR 0.5 and 1), six gain buckets, Richardson (24+12) - 1,500 held-out paths
