F1 V2 CAPS FROM THE CODE (bridgeTable v2 + bridgeChanceV2, and v1 for comparison), at the opening position, floor 0.8
case          | B  acc      req (v2)  need (v1) | cap v2  no growth | cap v1 | cash buffer  spread  growth
S126          |  2   142.5k     46.4k     46.4k |  100.0     100.0 |  100.0 |    14.5k   12.8%  4.13%
share 0.50    |  2   475.0k     46.4k     46.4k |  100.0     100.0 |  100.0 |    14.5k   12.8%  4.13%
share 0.70    |  2   285.0k     46.4k     46.4k |  100.0     100.0 |  100.0 |    14.5k   12.8%  4.13%
share 0.78    |  2   209.0k     46.4k     46.4k |  100.0     100.0 |  100.0 |    14.5k   12.8%  4.13%
share 0.90    |  2    95.0k     46.4k     46.4k |  100.0     100.0 |  100.0 |    14.5k   12.8%  4.13%
share 0.95    |  2    47.5k     46.4k     46.4k |   73.2      60.4 |   57.4 |    14.5k   12.8%  4.13%
bridge 0      | no retired bridge at the start: no cap
bridge 1      |  1   142.5k     23.2k     23.2k |  100.0     100.0 |  100.0 |    14.5k   12.8%  4.13%
bridge 4      |  4   142.5k     92.8k     92.8k |   99.9      99.6 |   96.9 |    14.5k   12.8%  4.13%
bridge 6      |  6   142.5k     92.8k    139.2k |   99.7      98.4 |   53.3 |    14.5k   12.8%  4.13%
wealth x0.5   |  2    71.3k     46.4k     46.4k |  100.0     100.0 |   99.9 |    14.5k   12.8%  4.13%
wealth x2     |  2   285.0k     46.4k     46.4k |  100.0     100.0 |  100.0 |    14.5k   12.8%  4.13%
S120          |  2    27.0k      8.0k      8.0k |  100.0     100.0 |  100.0 |     2.5k   12.8%  4.13%
S122          |  2    27.0k     14.4k     14.4k |  100.0     100.0 |  100.0 |     4.5k   12.8%  4.13%
S124          |  2    67.5k     29.6k     29.6k |  100.0     100.0 |  100.0 |     9.3k   12.8%  4.13%
S128          |  2   142.5k     84.8k     84.8k |  100.0     100.0 |  100.0 |    26.5k   12.8%  4.13%
S130          |  2   360.0k    166.4k    166.4k |  100.0     100.0 |  100.0 |    52.0k   12.8%  4.13%
S360          |  8    27.0k     32.0k     32.0k |   47.2      23.3 |    off |     2.5k   12.8%  4.13%
S366          |  8   142.5k     92.8k    185.6k |   99.4      96.9 |    off |    14.5k   12.8%  4.13%
S370          |  8   360.0k    332.8k    665.6k |   84.8      64.0 |    off |    52.0k   12.8%  4.13%
bridge 4+cost |  4   142.5k    122.8k    122.8k |   91.6      81.9 |   74.1 |    14.5k   12.8%  4.13%
