Gate 3 on the 41 band households (tag bridge-41), BEFORE the horizon fold: the solved table through the real engine vs the reduced model's forecast (fast flow, same seed's draws) and vs the plan's own rule in the engine; 30 points; 3000 paths; seed 9102

41 households, tag bridge-41, 30 points, 3000 paths through the real engine, seed 9102

id    engine: table / fixed   edge    model forecast   gap
S004   88.2 /  85.3   + 2.83     92.4        -4.27
S020   73.4 /  72.2   + 1.23     77.5        -4.10
S034   77.4 /  73.2   + 4.13     82.1        -4.70
S054   95.6 /  95.8   -0.27     97.9        -2.30
S058   91.0 /  92.3   -1.23     94.3        -3.27
S070   65.7 /  66.6   -0.90     67.3        -1.57
S082   77.1 /  75.6   + 1.47     81.2        -4.10
S100   95.9 /  96.2   -0.23     97.7        -1.73
S112   94.1 /  92.8   + 1.30     96.7        -2.60
S118   81.3 /  79.0   + 2.33     84.9        -3.53
S126   95.8 /  94.9   + 0.90     98.0        -2.23
S142   72.5 /  70.8   + 1.70     76.2        -3.67
S154   65.5 /  59.9   + 5.57     70.2        -4.70
S162   94.0 /  93.7   + 0.33     97.6        -3.57
S172   87.5 /  84.1   + 3.43     92.3        -4.80
S178   74.1 /  71.0   + 3.13     78.7        -4.57
S184   70.3 /  64.9   + 5.37     74.4        -4.13
S194   85.6 /  84.4   + 1.20     90.0        -4.43
S198   94.9 /  94.8   + 0.10     97.7        -2.80
S206   95.4 /  95.6   -0.20     97.5        -2.07
S218   92.1 /  91.8   + 0.27     95.5        -3.43
S222   91.8 /  91.1   + 0.70     95.5        -3.70
S230   96.6 /  97.0   -0.37     98.4        -1.80
S234   91.2 /  88.0   + 3.20     95.5        -4.33
S240   89.7 /  88.4   + 1.30     94.6        -4.93
S252   90.6 /  89.7   + 0.87     95.7        -5.07
S258   78.8 /  77.1   + 1.67     84.6        -5.83
S268   67.0 /  62.9   + 4.13     73.9        -6.87
S276   92.3 /  91.3   + 1.00     96.4        -4.10
S292   70.3 /  61.9   + 8.43     77.3        -6.97
S300   77.7 /  75.7   + 1.97     84.7        -7.07
S318   71.6 /  71.7   -0.13     79.0        -7.43
S330   70.5 /  70.7   -0.23     79.3        -8.83
S342   66.7 /  67.0   -0.30     73.3        -6.60
S354   73.5 /  69.9   + 3.63     82.6        -9.03
S374   88.0 /  86.5   + 1.57     94.0        -6.00
S378   94.7 /  93.8   + 0.90     97.9        -3.17
S390   95.1 /  95.1   -0.03     98.1        -3.03
S400   78.3 /  76.6   + 1.73     82.7        -4.43
S410   97.5 /  98.0   -0.50     98.7        -1.20
S414   86.5 /  84.3   + 2.23     93.6        -7.07

model-to-engine gap (engine minus forecast): mean -4.39, worst |gap| 9.03, within 2 points on 4 of 41, within 1 on 0
edge in the real engine (table minus the plan's own rule): mean +1.57, up on 30, down on 11; worst -1.23; median pot table minus fixed £373k
