Gate 3 on the 41 band households with the horizon fold at k = 2 (the exact (2n-1) rule), tag bridge-41-fold; same protocol as results-p3-bridge-41-before.txt

41 households, tag bridge-41-fold, 30 points, 3000 paths through the real engine, seed 9102

id    engine: table / fixed   edge    model forecast   gap
S004   88.4 /  85.3   + 3.03     87.7        +0.63
S020   73.4 /  72.2   + 1.23     70.7        +2.70
S034   77.3 /  73.2   + 4.10     75.6        +1.70
S054   95.8 /  95.8   -0.07     95.5        +0.23
S058   91.6 /  92.3   -0.70     89.3        +2.27
S070   65.5 /  66.6   -1.07     60.9        +4.67
S082   77.1 /  75.6   + 1.50     73.1        +4.00
S100   96.4 /  96.2   + 0.27     92.4        +4.00
S112   94.4 /  92.8   + 1.60     90.5        +3.93
S118   81.5 /  79.0   + 2.53     76.0        +5.57
S126   96.1 /  94.9   + 1.27     93.0        +3.17
S142   72.6 /  70.8   + 1.80     68.6        +4.00
S154   65.5 /  59.9   + 5.57     63.4        +2.03
S162   94.4 /  93.7   + 0.77     92.5        +1.93
S172   87.8 /  84.1   + 3.67     82.7        +5.03
S178   74.2 /  71.0   + 3.23     70.2        +4.03
S184   70.3 /  64.9   + 5.40     66.5        +3.80
S194   85.6 /  84.4   + 1.23     80.7        +4.90
S198   95.3 /  94.8   + 0.53     91.9        +3.43
S206   95.8 /  95.6   + 0.13     91.8        +3.97
S218   92.4 /  91.8   + 0.53     87.2        +5.20
S222   92.3 /  91.1   + 1.17     88.3        +4.00
S230   97.0 /  97.0   + 0.00     93.6        +3.43
S234   91.4 /  88.0   + 3.40     88.2        +3.23
S240   89.8 /  88.4   + 1.40     85.6        +4.23
S252   90.7 /  89.7   + 0.93     86.8        +3.87
S258   78.7 /  77.1   + 1.60     76.0        +2.73
S268   67.0 /  62.9   + 4.13     66.0        +1.03
S276   92.7 /  91.3   + 1.40     88.1        +4.53
S292   70.4 /  61.9   + 8.47     68.9        +1.50
S300   77.8 /  75.7   + 2.07     76.9        +0.90
S318   71.5 /  71.7   -0.20     69.8        +1.70
S330   70.5 /  70.7   -0.27     70.0        +0.47
S342   66.6 /  67.0   -0.43     65.2        +1.40
S354   73.4 /  69.9   + 3.47     73.4        +0.00
S374   88.3 /  86.5   + 1.80     83.5        +4.77
S378   94.8 /  93.8   + 1.00     91.4        +3.47
S390   95.2 /  95.1   + 0.10     92.4        +2.87
S400   78.4 /  76.6   + 1.80     72.2        +6.20
S410   97.6 /  98.0   -0.40     92.1        +5.43
S414   86.7 /  84.3   + 2.43     85.2        +1.50

model-to-engine gap (engine minus forecast): mean +3.13, worst |gap| 6.20, within 2 points on 12 of 41, within 1 on 5
edge in the real engine (table minus the plan's own rule): mean +1.72, up on 33, down on 7; worst -1.07; median pot table minus fixed £244k
