Gate 3 with the three-world mixture (nodes -sqrt3, 0, sqrt3; weights 1/6, 2/3, 1/6), tag bridge-41-mix3; same protocol as bridge-41-mix5.

41 households, tag bridge-41-mix3, 30 points, 3000 paths through the real engine, seed 9102

id    engine: table / fixed   edge    model forecast   gap
S004   88.3 /  85.3   + 3.00     88.3        +0.00
S020   73.5 /  72.2   + 1.27     73.5        +0.00
S034   77.4 /  73.2   + 4.13     77.4        -0.03
S054   95.6 /  95.8   -0.20     95.7        -0.03
S058   91.3 /  92.3   -0.97     91.3        -0.03
S070   65.6 /  66.6   -1.00     65.9        -0.30
S082   77.2 /  75.6   + 1.57     77.2        -0.03
S100   96.0 /  96.2   -0.20     96.0        +0.00
S112   94.3 /  92.8   + 1.50     94.3        +0.00
S118   81.4 /  79.0   + 2.43     81.6        -0.13
S126   95.9 /  94.9   + 1.07     95.9        +0.03
S142   72.5 /  70.8   + 1.67     72.5        -0.03
S154   65.4 /  59.9   + 5.53     66.2        -0.80
S162   94.3 /  93.7   + 0.60     94.2        +0.03
S172   87.6 /  84.1   + 3.53     87.6        -0.00
S178   74.1 /  71.0   + 3.10     74.6        -0.47
S184   70.4 /  64.9   + 5.53     70.4        +0.00
S194   85.5 /  84.4   + 1.07     85.5        +0.00
S198   95.0 /  94.8   + 0.20     95.0        +0.00
S206   95.5 /  95.6   -0.13     95.5        +0.00
S218   92.2 /  91.8   + 0.33     92.2        -0.00
S222   92.1 /  91.1   + 0.97     92.1        +0.00
S230   96.7 /  97.0   -0.30     96.7        +0.00
S234   91.4 /  88.0   + 3.37     91.4        +0.00
S240   89.7 /  88.4   + 1.30     89.7        +0.00
S252   90.7 /  89.7   + 0.93     90.7        -0.00
S258   78.8 /  77.1   + 1.63     78.8        -0.07
S268   67.0 /  62.9   + 4.10     67.5        -0.53
S276   92.4 /  91.3   + 1.17     92.4        +0.00
S292   70.3 /  61.9   + 8.40     70.6        -0.30
S300   77.7 /  75.7   + 1.97     77.7        -0.00
S318   71.5 /  71.7   -0.23     71.7        -0.23
S330   70.5 /  70.7   -0.23     71.9        -1.37
S342   66.7 /  67.0   -0.27     67.2        -0.47
S354   73.4 /  69.9   + 3.53     74.6        -1.17
S374   88.1 /  86.5   + 1.60     88.1        +0.00
S378   94.7 /  93.8   + 0.90     94.7        +0.00
S390   95.1 /  95.1   + 0.00     95.1        +0.00
S400   78.3 /  76.6   + 1.70     78.3        +0.00
S410   97.5 /  98.0   -0.50     97.5        +0.00
S414   86.7 /  84.3   + 2.43     86.7        -0.03

model-to-engine gap (engine minus forecast): mean -0.15, worst |gap| 1.37, within 2 points on 41 of 41, within 1 on 39
edge in the real engine (table minus the plan's own rule): mean +1.62, up on 30, down on 10; worst -1.00; median pot table minus fixed £311k

Three worlds against five, on the same 41 households and paths: gap mean -0.15 / -0.15; |gap| mean 0.15 / 0.15; within a point 39 / 39 of 41; the engine's score of the plan 83.86 / 83.86; solve 40 s / 71 s. Three worlds are the default from here.
