The tier solver through the real engine on the 41 band households (tag bridge-41-tiers): five-world mixture, joint tier steps with the switching cost (0.25% of the slice) and the worth-it margin (0.001); 30 points; 3000 paths through the real engine; seed 9102. Opponent: the plan's own rule as entered, in the same engine on the same paths.

41 households, tag bridge-41-tiers, 30 points, 3000 paths through the real engine, seed 9102

id    engine: table / fixed   edge    model forecast   gap
S004   93.7 /  85.3   + 8.40     93.7        +0.00
S020   81.4 /  72.2   + 9.20     81.4        -0.00
S034   82.5 /  73.2   + 9.30     82.8        -0.30
S054   98.3 /  95.8   + 2.50     98.3        +0.00
S058   95.7 /  92.3   + 3.40     95.6        +0.07
S070   70.8 /  66.6   + 4.23     70.9        -0.10
S082   84.6 /  75.6   + 8.97     84.6        -0.03
S100   99.3 /  96.2   + 3.13     99.3        +0.00
S112   97.7 /  92.8   + 4.83     97.7        +0.00
S118   87.3 /  79.0   + 8.33     87.4        -0.10
S126   99.3 /  94.9   + 4.40     99.2        +0.07
S142   78.6 /  70.8   + 7.83     78.5        +0.10
S154   69.9 /  59.9   +10.00     70.7        -0.83
S162   98.5 /  93.7   + 4.83     98.5        -0.03
S172   92.8 /  84.1   + 8.73     92.8        +0.00
S178   79.2 /  71.0   + 8.20     79.6        -0.43
S184   75.9 /  64.9   +10.97     75.9        -0.03
S194   92.0 /  84.4   + 7.57     92.0        +0.00
S198   98.6 /  94.8   + 3.83     98.6        -0.00
S206   97.7 /  95.6   + 2.10     97.7        +0.00
S218   97.1 /  91.8   + 5.30     97.1        +0.00
S222   96.2 /  91.1   + 5.07     96.1        +0.07
S230   98.6 /  97.0   + 1.57     98.6        +0.00
S234   94.9 /  88.0   + 6.87     94.9        -0.07
S240   95.6 /  88.4   + 7.20     95.6        +0.03
S252   95.7 /  89.7   + 6.00     95.7        +0.00
S258   84.3 /  77.1   + 7.17     84.5        -0.23
S268   70.3 /  62.9   + 7.47     71.0        -0.67
S276   96.6 /  91.3   + 5.30     96.6        +0.00
S292   74.0 /  61.9   +12.10     74.7        -0.70
S300   82.3 /  75.7   + 6.60     82.3        +0.00
S318   75.5 /  71.7   + 3.73     75.8        -0.33
S330   73.6 /  70.7   + 2.83     75.3        -1.77
S342   70.9 /  67.0   + 3.87     71.4        -0.57
S354   77.0 /  69.9   + 7.13     78.1        -1.03
S374   94.2 /  86.5   + 7.77     94.2        +0.00
S378   98.7 /  93.8   + 4.87     98.7        +0.00
S390   98.3 /  95.1   + 3.17     98.3        +0.00
S400   85.0 /  76.6   + 8.40     85.0        -0.03
S410   99.5 /  98.0   + 1.53     99.5        +0.00
S414   92.2 /  84.3   + 7.90     92.3        -0.10

model-to-engine gap (engine minus forecast): mean -0.17, worst |gap| 1.77, within 2 points on 41 of 41, within 1 on 39
edge in the real engine (table minus the plan's own rule): mean +6.16, up on 41, down on 0; worst 1.53; median pot table minus fixed £-459k

Against the withdrawal-only solver in the same engine (bridge-41-mix5): +4.54 points, better on 41 of 41. Median pot vs the plan's own rule -459k; unlucky tenth +94k. Solve: five tables with tiers, 130 s per household with four jobs sharing four cores.
