24 Sep 09:36 UK | light | none: launcher self-test after the enforcement build (smoke on the new code) | code d89453776ea1 | b370285 | load 5.26 4.67 4.56 | true
24 Sep 11:50 UK | light | none: self-test of the launcher's new smoke stamp (code-id --smoke), a cheap audit scan | code f15075f2eef3 | 610afa3 | load 5.08 4.92 4.77 | node research/solver/audit-s126.mjs scan
24 Sep 14:37 UK | main | research/solver/predictions/m14b.md | code de180680d398 | 2e6ca2a | load 1.10 1.82 3.35 | bash research/solver/batch-m14b.sh
24 Sep 16:56 UK | main | research/solver/predictions/f1v2-test.md | code 14e60143d40d | 3ab2397 | load 1.02 1.15 2.27 | bash research/solver/batch-f1v2.sh
24 Sep 18:24 UK | main | research/solver/predictions/m14c-bets.md | code ca10fa602ae6 | a72954e | load 1.57 1.40 2.31 | bash research/solver/batch-m14c.sh
24 Sep 20:08 UK | main | research/solver/predictions/m14c-bets.md | code cc636ea356b7 | df3d203 | load 1.00 1.00 1.24 | bash research/solver/batch-m14c.sh
24 Sep 22:16 UK | main | research/solver/predictions/o19-final.md | code 75d8f920dd05 | ce62ca0 | load 1.08 1.06 1.01 | bash research/solver/batch-o19.sh
25 Sep 00:37 UK | main | none: a tiny functional check of audit-s126.mjs's new quad mode (S126 at 4 points, 20 paths) before its test is registered; not a test | code bb37f6b16d58 | a3d24cd | load 1.00 0.95 1.23 | node research/solver/audit-s126.mjs quad 4 20 part 0/6
25 Sep 00:52 UK | main | research/solver/predictions/quad-ref.md | code bb37f6b16d58 | 912cbbd | load 1.17 1.05 1.02 | bash research/solver/batch-quadref.sh
25 Sep 03:47 UK | main | research/solver/predictions/bridge-quad.md | code 21c285b7474d | 26f0856 | load 1.00 1.02 1.35 | bash research/solver/batch-bridgequad.sh
25 Sep 06:45 UK | light | none:  a tiny functional check of audit-s126.mjs's new trace mode (S360 at 4 points, 20 paths) before O22's trace is registered; not a test, its figures are not read | code cbcadc6c9310 | d092207 | load 2.09 1.98 1.41 | node research/solver/audit-s126.mjs trace 4 20 S360
25 Sep 07:08 UK | main | research/solver/predictions/o22-trace.md | code cbcadc6c9310 | 3deb82d | load 1.33 1.41 1.44 | bash research/solver/batch-o22.sh
25 Sep 08:27 UK | main | none:  7k's timing of the exact final year (a measurement, no test): solvePlan alone with and without finalIntegral, 16 points, S126, S194 and S330, two alternated runs each way, on a quiet box (nothing else launched; load 0.07 at launch) | code 22c2d7818b90 | a6c430d | load 1.11 0.93 0.61 | node research/solver/audit-s126.mjs time 16 2 S126,S194,S330
25 Sep 11:35 UK | main | none: a measurement - the bridge reader's added solve time (drafts/reader-design.md check 6), judged later against 7e's 20% bar; not a test | code 3e988bad8b71 | 73e274c | load 1.41 1.19 1.06 | node research/solver/audit-s126.mjs readertime 16 2
